iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
93,223200,-70.12,0.0,1.0,10.75,-17.38,1.38,1.469,0.5382,0.0151,0.588
94,225600,-58.0,0.0,1.38,8.88,-14.5,1.38,1.473,0.4878,0.08,0.405
95,228000,-63.88,0.0,0.75,11.38,-15.59,1.5,1.477,0.4791,0.0694,0.538
96,230400,-83.38,0.0,0.75,13.5,-20.83,1.38,1.472,0.6199,0.0273,1.196
97,232800,-52.5,0.0,1.25,7.25,-13.09,1.62,1.481,0.3381,0.0629,0.388
98,235200,-35.25,0.0,0.75,2.5,-8.8,1.38,1.484,0.2298,-0.0183,1.235
99,237600,-50.0,0.0,1.25,4.25,-12.31,1.62,1.485,0.2255,-0.0223,0.298
100,240000,-51.25,0.0,1.38,7.88,-12.5,1.88,1.478,0.4765,0.0153,0.387
101,242400,-70.25,0.0,1.0,11.38,-17.38,1.25,1.494,0.4917,0.0648,0.661
102,244800,-51.62,0.0,1.75,6.5,-12.77,1.5,1.494,0.317,0.0792,0.582
103,247200,-64.62,0.0,0.88,9.25,-16.14,1.25,1.503,0.4613,0.0446,0.506
104,249600,-42.88,0.0,1.0,5.62,-10.66,1.38,1.496,0.3738,0.06,1.041
105,252000,-53.5,0.0,1.12,7.62,-13.06,1.5,1.504,0.4364,0.0195,0.322
106,254400,-53.25,0.0,1.25,9.5,-13.2,1.88,1.498,0.4631,0.017,0.645
107,256800,-52.25,0.0,0.88,5.88,-12.56,1.5,1.512,0.2793,-0.0099,0.294
108,259200,-55.5,0.0,1.25,7.0,-13.73,1.5,1.509,0.4494,0.0519,0.413
109,261600,-60.62,0.0,0.5,10.38,-14.88,1.5,1.508,0.5132,0.0431,0.594
110,264000,-70.25,0.0,2.0,13.38,-17.42,1.75,1.493,0.6693,0.0525,1.301
111,266400,-63.62,0.0,1.0,10.0,-15.62,1.5,1.495,0.4912,0.0967,0.59
112,268800,-55.5,0.0,1.12,8.25,-13.62,1.5,1.506,0.3443,0.0538,0.275
113,271200,-64.0,0.0,2.25,11.0,-15.84,1.5,1.495,0.4092,0.0356,0.759
114,273600,-38.62,0.0,2.75,5.38,-9.38,1.62,1.493,0.324,0.0733,0.665
115,276000,-49.38,0.0,1.38,5.0,-12.16,1.25,1.511,0.2461,0.0298,0.44
116,278400,-58.12,0.0,1.12,7.12,-14.45,1.25,1.508,0.2962,0.0281,0.571
117,280800,-40.12,0.0,3.12,4.38,-9.95,1.5,1.489,0.362,0.0128,0.774
118,283200,-43.5,0.0,1.38,6.12,-10.69,1.5,1.489,0.298,0.0943,0.733
119,285600,-50.38,0.0,2.0,5.38,-12.59,1.12,1.492,0.3432,0.0241,0.42
120,288000,-54.88,0.0,2.25,11.5,-13.7,1.62,1.47,0.5324,0.1103,0.413
121,290400,-52.62,0.0,2.12,7.38,-13.12,1.12,1.484,0.3646,0.0922,0.255
122,292800,-68.0,0.0,1.88,12.25,-16.97,1.38,1.474,0.4076,0.1573,0.996
123,295200,-38.12,0.0,2.25,3.38,-9.52,1.25,1.479,0.2021,-0.0249,0.654
124,297600,-79.75,0.0,2.38,16.12,-19.92,1.75,1.447,0.659,0.0696,1.634
125,300000,-62.25,0.0,3.0,14.88,-15.56,1.25,1.455,0.6468,0.0319,0.711
126,302400,-57.12,0.0,3.88,9.5,-14.0,1.75,1.43,0.4634,0.0266,0.361
127,304800,-50.12,0.0,3.25,6.12,-12.31,1.5,1.414,0.4595,0.0407,0.382
128,307200,-64.38,0.0,1.62,11.88,-16.06,1.5,1.407,0.4802,0.0641,0.74
129,309600,-47.12,0.0,1.38,3.62,-11.47,1.12,1.41,0.2885,-0.0277,0.654
130,312000,-52.75,0.0,2.75,9.88,-13.03,1.5,1.37,0.5875,0.0033,0.625
131,314400,-59.0,0.0,0.88,5.38,-14.62,1.12,1.387,0.3383,-0.0228,0.387
132,316800,-56.0,0.0,4.0,14.0,-13.77,1.75,1.341,0.432,0.0337,0.474
133,319200,-42.62,0.125,2.25,6.62,-10.53,1.38,1.353,0.2953,0.0249,0.691
134,321600,-60.62,0.0,3.5,14.88,-15.0,1.75,1.313,0.6909,0.0915,0.539
135,324000,-65.88,0.0,0.5,13.0,-16.22,1.5,1.309,0.532,0.1446,0.575
136,326400,-46.12,0.125,3.25,9.38,-11.27,1.38,1.316,0.5592,-0.0055,0.694
