game,opp_id,won,my_score,opp_score,t,total,ours,opp,uncertain,dead,created_exposed,own_half_exposed,cfg_margin,cfg_future_seed,cfg_created_near_tent_r,cfg_farm_r,raw
895549976,boss,False,181.0,239.0,90,345,0,135,210,0,0,78,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,95,320,79,155,86,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,100,330,40,232,58,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,105,328,4,265,59,0,0,59,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,110,332,0,175,157,0,0,59,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,115,338,0,156,182,0,0,59,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,120,330,0,200,130,0,0,59,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,125,314,153,117,44,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,130,317,4,274,39,0,0,39,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,135,326,8,200,118,0,0,39,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,140,319,0,158,161,0,0,39,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,145,312,0,273,39,0,0,39,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,150,323,4,197,122,0,0,39,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,155,303,58,158,87,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,160,295,0,276,19,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,165,280,19,222,39,0,0,0,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,170,272,4,249,19,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,175,272,0,155,117,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,180,276,0,276,0,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,185,272,0,253,19,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,190,268,4,198,66,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,195,262,0,204,58,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,200,262,0,77,185,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,205,262,0,243,19,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,210,249,0,132,117,0,0,19,3,1,2,2,data/boss5_games/boss/game_895549976.raw
895549976,boss,False,181.0,239.0,215,245,0,222,23,0,4,23,3,1,2,2,data/boss5_games/boss/game_895549976.raw
