agent_id,from_epoch,to_epoch,from_score,to_score,score_delta,games,wins,losses,ties,net_wins,opponent_score_mean,internal,outcome_complete,next_games,next_wins,next_losses,next_ties,next_net_wins,next_opponent_score_mean,next_outcome_complete
6479532,2,3,21.82700949590941,21.737364247445992,-0.08964524846341959,1,1,0,0,1,21.401016665958227,True,True,2,0,2,0,-2,23.802451822222054,True
6479532,3,4,21.737364247445992,21.69300931464099,-0.044354932805003244,2,0,2,0,-2,23.802451822222054,True,True,1,0,1,0,-1,25.253636143961657,True
6479532,4,5,21.69300931464099,21.718394101950597,0.02538478730960847,1,0,1,0,-1,25.253636143961657,True,True,1,1,0,0,1,17.363087992869353,True
6479532,5,6,21.718394101950597,22.36758667008764,0.6491925681370425,1,1,0,0,1,17.363087992869353,True,True,40,16,24,0,-8,23.325625825271985,True
6479532,6,7,22.36758667008764,21.624279205880903,-0.7433074642067368,40,16,24,0,-8,23.325625825271985,True,True,3,0,3,0,-3,23.035760298622517,True
6479532,7,8,21.624279205880903,22.36758667008764,0.7433074642067368,3,0,3,0,-3,23.035760298622517,True,True,3,2,1,0,1,24.023944697892553,True
6479532,8,9,22.36758667008764,22.384616456816747,0.0170297867291076,3,2,1,0,1,24.023944697892553,True,True,1,1,0,0,1,23.4001591732757,True
6479532,9,10,22.384616456816747,22.36758667008764,-0.0170297867291076,1,1,0,0,1,23.4001591732757,True,True,26,17,9,0,8,23.005462937637343,True
6479532,10,11,22.36758667008764,22.384616456816747,0.0170297867291076,26,17,9,0,8,23.005462937637343,True,True,1,1,0,0,1,15.202420446910114,True
6479532,11,12,22.384616456816747,22.632475987497894,0.24785953068114708,1,1,0,0,1,15.202420446910114,True,True,9,6,3,0,3,21.880748865256383,True
6479532,12,13,22.632475987497894,23.017478580479533,0.38500259298163897,9,6,3,0,3,21.880748865256383,True,True,4,4,0,0,4,21.175834409189882,False
6479542,0,1,23.548202754048443,24.41265050141559,0.8644477473671479,29,16,13,0,3,22.125336233350822,False,False,1,0,1,0,-1,23.802451822222054,True
6479542,1,2,24.41265050141559,24.449368682652022,0.03671818123643078,1,0,1,0,-1,23.802451822222054,True,True,4,2,2,0,0,25.253636143961657,True
6479542,2,3,24.449368682652022,23.548202754048443,-0.9011659286035787,4,2,2,0,0,25.253636143961657,True,True,51,25,26,0,-1,24.202605880587395,True
6479542,3,4,23.548202754048443,23.907226845613252,0.35902409156480886,51,25,26,0,-1,24.202605880587395,True,True,2,2,0,0,2,23.035760298622517,True
6479542,4,5,23.907226845613252,23.548202754048443,-0.35902409156480886,2,2,0,0,2,23.035760298622517,True,True,27,10,17,0,-7,24.895404504430836,True
6479542,5,6,23.548202754048443,23.907226845613252,0.35902409156480886,27,10,17,0,-7,24.895404504430836,True,True,1,0,1,0,-1,24.873593449254138,True
6479542,6,7,23.907226845613252,23.548202754048443,-0.35902409156480886,1,0,1,0,-1,24.873593449254138,True,True,20,7,13,0,-6,25.03083877930224,True
6479542,7,8,23.548202754048443,23.448845274875364,-0.09935747917307935,20,7,13,0,-6,25.03083877930224,True,True,1,0,1,0,-1,22.1704616509147,False
6479553,0,1,21.01780369451397,20.53525419210197,-0.4825495024119988,13,8,5,0,3,20.935315398520682,False,False,2,2,0,0,2,23.260858532063047,True
6479553,1,2,20.53525419210197,21.01780369451397,0.4825495024119988,2,2,0,0,2,23.260858532063047,True,True,11,6,5,0,1,20.946417390676082,True
6479553,2,3,21.01780369451397,20.53525419210197,-0.4825495024119988,11,6,5,0,1,20.946417390676082,True,True,6,2,4,0,-2,21.163083839914353,True
6479553,3,4,20.53525419210197,21.01780369451397,0.4825495024119988,6,2,4,0,-2,21.163083839914353,True,True,15,9,6,0,3,21.099422331699014,True
6479553,4,5,21.01780369451397,21.564393085350844,0.5465893908368749,15,9,6,0,3,21.099422331699014,True,True,1,1,0,0,1,21.27007197756556,True
6479553,5,6,21.564393085350844,21.57834882879298,0.01395574344213557,1,1,0,0,1,21.27007197756556,True,True,2,1,1,0,0,23.802451822222054,True
6479553,6,7,21.57834882879298,21.53236917571711,-0.04597965307586804,2,1,1,0,0,23.802451822222054,True,True,1,0,1,0,-1,25.253636143961657,True
6479553,7,8,21.53236917571711,21.01780369451397,-0.5145654812031424,1,0,1,0,-1,25.253636143961657,True,True,41,19,22,0,-3,22.35828787863005,True
6479553,8,9,21.01780369451397,21.20530856686202,0.18750487234805036,41,19,22,0,-3,22.35828787863005,True,True,3,1,2,0,-1,23.035760298622517,True
6479553,9,10,21.20530856686202,21.01780369451397,-0.18750487234805036,3,1,2,0,-1,23.035760298622517,True,True,22,5,17,0,-12,24.810034628500723,True
6479553,10,11,21.01780369451397,20.53525419210197,-0.4825495024119988,22,5,17,0,-12,24.810034628500723,True,True,3,1,2,0,-1,26.911805447017525,True
6479553,11,12,20.53525419210197,21.01780369451397,0.4825495024119988,3,1,2,0,-1,26.911805447017525,True,True,15,8,7,0,1,21.67221899832255,True
6479553,12,13,21.01780369451397,21.76092666707329,0.7431229725593198,15,8,7,0,1,21.67221899832255,True,True,23,15,8,0,7,20.984245780770873,False
6479657,0,1,23.711885390028915,25.470453878192615,1.7585684881637,8,6,2,0,4,24.840327501440534,False,False,5,2,3,0,-1,25.910400289585624,True
6479657,1,2,25.470453878192615,25.463355790804023,-0.007098087388591523,5,2,3,0,-1,25.910400289585624,True,True,8,4,4,0,0,25.253636143961657,True
6479657,2,3,25.463355790804023,25.497349584595476,0.03399379379145273,8,4,4,0,0,25.253636143961657,True,True,1,1,0,0,1,17.363087992869353,True
6479657,3,4,25.497349584595476,26.266162848269673,0.7688132636741969,1,1,0,0,1,17.363087992869353,True,True,11,9,2,0,7,26.30605586442285,True
6479657,4,5,26.266162848269673,23.711885390028915,-2.554277458240758,11,9,2,0,7,26.30605586442285,True,True,39,19,20,0,-1,25.03902082692331,True
6479657,5,6,23.711885390028915,23.731483490113547,0.019598100084632364,39,19,20,0,-1,25.03902082692331,True,True,2,0,2,0,-2,26.52670050358507,True
6479657,6,7,23.731483490113547,23.711885390028915,-0.019598100084632364,2,0,2,0,-2,26.52670050358507,True,True,2,1,1,0,0,26.52670050358507,True
6479657,7,8,23.711885390028915,25.254056374173132,1.5421709841442173,2,1,1,0,0,26.52670050358507,True,True,7,1,6,0,-5,25.739583067350036,True
6479657,8,9,25.254056374173132,25.346505206732882,0.09244883255975012,7,1,6,0,-5,25.739583067350036,True,True,3,2,1,0,1,24.873593449254138,True
6479657,9,10,25.346505206732882,23.711885390028915,-1.6346198167039674,3,2,1,0,1,24.873593449254138,True,True,43,13,30,0,-17,26.622999627339507,True
6479657,10,11,23.711885390028915,23.731483490113547,0.019598100084632364,43,13,30,0,-17,26.622999627339507,True,True,1,0,1,0,-1,26.32295612788203,True
6479657,11,12,23.731483490113547,23.711885390028915,-0.019598100084632364,1,0,1,0,-1,26.32295612788203,True,True,6,0,6,0,-6,24.717682528055605,True
6479657,12,13,23.711885390028915,23.744930655807146,0.03304526577823097,6,0,6,0,-6,24.717682528055605,True,True,2,2,0,0,2,14.771514980560365,True
6479657,13,14,23.744930655807146,23.967563971675848,0.22263331586870194,2,2,0,0,2,14.771514980560365,True,True,2,2,0,0,2,21.31364269860144,True
6479657,14,15,23.967563971675848,23.91462850268239,-0.052935468993457135,2,2,0,0,2,21.31364269860144,True,True,1,0,1,0,-1,20.442115210637674,False
6479658,0,1,21.32536727362718,21.66034183066263,0.3349745570354514,72,38,34,0,4,20.495720884634927,False,False,3,0,3,0,-3,21.357368436494006,True
6479658,1,2,21.66034183066263,21.764931470969497,0.10458964030686602,3,0,3,0,-3,21.357368436494006,True,True,1,0,1,0,-1,26.30605586442285,True
6479658,2,3,21.764931470969497,21.32536727362718,-0.43956419734231744,1,0,1,0,-1,26.30605586442285,True,True,24,11,13,0,-2,22.502989386983558,True
6479658,3,4,21.32536727362718,21.434068367902743,0.10870109427556329,24,11,13,0,-2,22.502989386983558,True,True,1,0,1,0,-1,23.035760298622517,True
