iter,env_steps,margin,win_rate,my_wood,opp_wood,ep_return,n_trolls,entropy,v_loss,pg_loss,grad_norm
95,228000,-0.88,0.25,15.0,12.12,-0.2,1.5,1.424,0.9451,-0.1262,0.559
96,230400,-40.0,0.125,8.0,13.75,-9.95,1.38,1.447,0.8662,0.0581,0.917
97,232800,7.38,0.375,16.38,9.0,1.88,1.62,1.409,0.7032,0.013,0.452
98,235200,33.75,0.5,18.5,3.75,8.58,1.62,1.4,0.8305,-0.0522,1.239
99,237600,33.38,0.5,23.62,6.25,8.34,1.88,1.38,0.7337,-0.1242,0.531
100,240000,18.25,0.375,21.25,11.12,4.7,1.62,1.379,0.9247,-0.1225,0.659
101,242400,-12.5,0.375,13.62,12.5,-2.97,1.5,1.399,1.1085,-0.1714,0.435
102,244800,11.5,0.75,9.75,5.5,2.89,1.38,1.432,0.6273,0.0256,1.506
103,247200,2.62,0.375,11.5,6.5,0.81,1.5,1.42,0.6167,0.1532,0.792
104,249600,20.88,0.5,16.12,6.12,5.25,1.5,1.391,0.7818,-0.0797,1.042
105,252000,16.38,0.375,15.62,7.0,4.14,1.5,1.396,0.8331,-0.1961,0.762
106,254400,40.88,0.75,24.12,9.0,10.44,1.88,1.368,0.6307,-0.0583,0.477
107,256800,-0.88,0.375,9.62,7.25,-0.05,1.25,1.397,0.7083,-0.1113,0.824
108,259200,-6.5,0.375,12.0,8.38,-1.61,1.38,1.395,0.648,-0.0487,0.376
109,261600,-16.62,0.25,11.38,12.62,-4.08,1.38,1.387,1.0058,-0.1414,0.602
110,264000,-1.62,0.375,18.25,14.25,-0.41,1.62,1.383,0.8252,-0.0744,0.743
111,266400,13.5,0.5,17.25,10.5,3.52,1.5,1.365,0.9905,-0.1132,0.628
112,268800,16.25,0.5,19.25,10.0,4.22,1.62,1.381,1.0206,-0.0166,0.513
113,271200,-9.75,0.25,13.62,11.25,-2.41,1.5,1.4,0.6102,0.0966,0.703
114,273600,52.75,0.5,25.25,7.0,13.33,1.62,1.334,0.7081,-0.1719,1.139
115,276000,9.75,0.375,13.38,5.25,2.59,1.5,1.401,0.4454,-0.0745,0.326
116,278400,-12.62,0.125,9.5,8.12,-3.12,1.38,1.405,0.5025,0.0143,0.859
117,280800,21.25,0.5,16.25,5.75,5.36,1.38,1.349,0.5293,-0.1209,0.516
118,283200,29.38,0.375,18.38,7.38,7.39,1.38,1.357,0.8699,-0.2774,1.335
119,285600,14.62,0.5,17.62,7.25,3.7,1.5,1.348,0.9747,-0.1355,0.56
120,288000,5.62,0.5,18.88,14.0,1.41,1.75,1.355,1.1064,-0.0947,0.387
121,290400,27.12,0.5,21.75,8.62,6.94,1.5,1.322,1.3035,-0.1333,0.78
122,292800,-2.88,0.625,16.0,12.25,-0.7,1.62,1.37,1.325,-0.0472,0.671
