agent_id,pseudo,games,seat0,seat1,active,current_rank,current_score,primary_eligible,control_min,raw_mean_margin,raw_win_rate,mean_margin_residual,ci_low,ci_high,mean_win_residual,raw_p,holm_p,actionable,failed_actionability_gates
6483325,Pech1,6,3,3,True,41,22.23,False,3,-51.833333333333336,0.16666666666666666,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6483491,VINCE_MX,2,0,2,True,58,20.1,False,,50.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6491198,Renatys,1,1,0,True,68,19.59,False,,76.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6491404,daaskare,2,1,1,True,50,21.12,False,,-11.0,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6491563,Stounate,2,2,0,True,8,26.5,False,,-60.5,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6491567,_H3R0_,1,1,0,True,42,22.18,False,,207.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6493247,sZoom,1,1,0,True,103,16.48,False,,-166.0,0.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6499915,LeRenard,1,1,0,True,104,16.34,False,,69.0,1.0,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6512040,celeria,8,3,5,True,36,22.82,False,2,-25.5,0.5,,,,,,,False,"primary_eligible,margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
6512056,a76a44,7,4,3,True,39,22.62,True,11,14.142857142857142,0.5714285714285714,9.526488917245219,-65.50873440285206,81.8160033244067,0.13380666952095524,0.635007299854003,0.635007299854003,False,"margin_residual_at_most_minus_20,ci_upper_below_zero,holm_p_at_most_0_05,win_residual_at_most_minus_0_15,both_seats_negative,both_time_halves_negative,both_band_sensitivities_identified_negative,leave_one_out_all_negative"
