variant_leg,leg,game_id,deployed_variant,deployed_first_mismatch_turn,seat,opponent_agent_id,opponent_submission_id,margin,win,catastrophe,initial_fingerprint,static_fingerprint,current_apple_activation_turn,apple_idle_activation_turn,banana_activation_turn,banana_idle_activation_turn,starter_base_verb,starter_base_command,starter_cell,mother_cell,starter_to_mother_turns,enemy_eta,apple_enemy_kill_eta,banana_enemy_kill_eta,apple_kill_safe,banana_kill_safe,apple_first_bank_eta,banana_first_bank_eta,apple_payback_safe,banana_payback_safe,apple_projected_banked_fruit,banana_projected_banked_fruit,bank_apple,bank_banana,actual_mother_planted,actual_first_plant_turn,actual_first_harvest_turn,actual_first_bank_turn,actual_banked_fruit,actual_harvested_fruit,actual_mother_survived
leg-01-no-orchard,1,897937779,no-orchard,,1,6482016,40751228,-13,False,False,b013b5ef32ba2365e7caa1529de9d9a5072355cd2622bbe707eeb30ce3d20927,c60e16c277c332aa6eb6039a94b4eb3062c8f17f868352ea5497e73797770790,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937792,no-orchard,44,0,6512040,40851046,84,True,False,09f4c78dcc33a7e5a7ae109ea867bb0a2c74f7daab6671fb42990fa40582edba,8a2d4c8c5e45646e2bb2ec06fad6383453b08082cab5d2a889bb6a9e693e8d94,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937799,no-orchard,27,1,6480947,40705790,6,True,False,67f354999720154e686a15ebb1b6f664619689d4caa63e773b47da9177704d08,f15d830e303112f42a30829df847b2534ab75d0abf3de55dd70370e8bb6495eb,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937807,no-orchard,45,1,6480516,40707262,-81,False,False,993055ad20caf431946ee2e811df93ae1b4a7e8fa7e0b2ac50f8dd44f8a8c3b3,2f90f748b2b5255aff78b3d45d973eded5789920816a656cdfba8213a9032978,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937825,no-orchard,,0,6479750,40708706,-10,False,False,f19ed02a3f95e05d4178feff2f555201093824e20bde4728e408415f623ac554,62c0f5f5e310c05484ee0f1728f2fd9b6b04f44e7b8ef9dbe9a05388961806f2,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937835,no-orchard,,1,6512040,40851046,85,True,False,ea3863287ee1d0a9a74730181ed8730da609c00f98bf56c41b3fd6b90fe4d40f,80f00d7aa2fb3d8d2084346624bfca45aa8e42d3451efbe39f949543703fd4f7,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937842,no-orchard,,1,6481143,40706379,32,True,False,249565f41593cdcdc4e11b5385cc5fdf43264689f8f5767ce739a282861020ae,06aaf36778babdbff2e6af6331543d856c627f0084312b32c30ac258e1c2ecea,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937852,no-orchard,2,0,6479914,40680297,-95,False,False,09015a9a9d7b85ef1d91bba5377b9926e37fba91cb50546b67b392ebd3a110e2,5262a6ae3811c6d514c5a5bfa8312fcb95c05c3b8bb22b331c3bf90eda5d8a21,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937860,no-orchard,56,0,6480545,40709587,36,True,False,a8a8f7c052bb9694fd2a46aa46d4c3516f01f336d4e99d58b9f5a71af186c8c0,a246bd372d37ac530e9513a5a07a7dbd4465dd8032d847ab0695f20acfd3fda2,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
leg-01-no-orchard,1,897937869,no-orchard,,1,6481143,40706379,-22,False,False,6b3e3adebed75b26b58d3ba413c4ba976bcb9b93af32ea40d6dd3c2cc2e32459,b8281e6b6c937d9274985812dfc687d6988d2500c061e8e66e8109134087c756,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,0,False
