seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
109,0,300,371,396,3,92,4,98,0,0
109,1,300,410,349,6,101,5,86,0,0
110,0,300,239,249,11,57,13,59,0,0
110,1,295,230,237,14,54,21,54,0,0
111,0,275,363,372,11,88,12,90,0,0
111,1,265,354,387,10,86,11,94,0,0
112,0,300,269,241,9,65,9,58,0,0
112,1,300,201,233,9,48,9,56,0,0
113,0,300,365,351,21,86,15,84,0,0
113,1,300,365,371,21,86,15,89,0,0
114,0,270,256,231,12,61,27,51,0,0
114,1,250,212,215,20,48,11,51,0,0
115,0,300,311,346,15,74,6,85,0,0
115,1,300,336,338,16,80,6,83,0,0
116,0,175,186,171,10,44,11,40,0,0
116,1,175,171,186,11,40,10,44,0,0
117,0,300,328,301,12,79,13,72,0,0
117,1,300,263,239,15,62,15,56,0,0
118,0,300,447,407,11,109,7,100,0,0
118,1,300,424,391,8,104,7,96,0,0
119,0,300,354,359,30,81,7,88,0,0
119,1,300,381,336,21,90,16,80,0,0
120,0,300,309,373,9,75,9,91,0,0
120,1,300,357,393,9,87,9,96,0,0
121,0,300,211,212,155,14,156,14,0,0
121,1,300,212,211,156,14,155,14,0,0
122,0,300,320,383,24,74,7,94,0,0
122,1,300,351,322,23,82,6,79,0,0
123,0,246,360,272,16,86,16,64,0,0
123,1,263,288,367,16,68,15,88,0,0
124,0,300,344,387,12,83,11,94,0,0
124,1,300,387,344,11,94,12,83,0,0
125,0,300,246,232,14,58,8,56,0,0
125,1,300,257,232,9,62,8,56,0,0
126,0,267,287,238,7,70,6,58,0,0
126,1,278,312,312,8,76,8,76,0,0
127,0,300,453,430,5,112,6,106,0,0
127,1,300,445,453,9,109,5,112,0,0
128,0,300,338,259,14,81,15,61,0,0
128,1,300,377,349,17,90,13,84,0,0
129,0,300,429,406,21,102,14,98,0,0
129,1,300,427,382,23,101,14,92,0,0
130,0,300,379,374,11,92,6,92,0,0
130,1,300,374,378,14,90,6,93,0,0
131,0,300,229,229,13,54,13,54,0,0
131,1,289,239,230,11,57,14,54,0,0
132,0,300,400,361,16,96,13,87,0,0
132,1,300,354,345,14,85,13,83,0,0
133,0,300,317,311,21,74,7,76,0,0
133,1,300,336,293,16,80,17,69,0,0
134,0,300,235,265,35,50,41,56,0,0
134,1,300,239,276,39,50,36,60,0,0
135,0,300,231,239,11,55,11,57,0,0
135,1,300,225,225,13,53,13,53,0,0
136,0,300,339,290,23,79,10,70,0,0
136,1,300,296,290,12,71,10,70,0,0
137,0,300,420,414,12,102,2,103,0,0
137,1,300,370,401,14,89,1,100,0,0
138,0,290,189,342,5,46,6,84,0,0
138,1,290,342,189,6,84,5,46,0,0
139,0,300,323,319,19,76,11,77,0,0
139,1,300,337,316,21,79,12,76,0,0
140,0,300,383,359,11,93,3,89,0,0
140,1,300,340,368,8,83,4,91,0,0
141,0,300,381,352,13,92,8,86,0,0
141,1,300,24,384,24,0,8,94,0,0
142,0,300,354,341,22,83,13,82,0,0
142,1,300,349,336,21,82,12,81,0,0
143,0,300,162,387,14,37,39,87,0,0
143,1,300,169,392,25,36,44,87,0,0
144,0,300,229,305,5,56,5,75,0,0
144,1,288,215,204,11,51,12,48,0,0
145,0,300,327,291,11,79,11,70,0,0
145,1,300,304,294,12,73,10,71,0,0
146,0,300,18,330,18,0,6,81,0,0
146,1,300,363,327,11,88,7,80,0,0
147,0,300,364,323,36,82,11,78,0,0
147,1,300,335,324,31,76,12,78,0,0
148,0,300,389,339,29,90,15,81,0,0
