age_after_days,age_before_days,age_bin_after,age_bin_before,agent_id,crossed_age_bin,elapsed_days,from_snapshot,lifetime_battle_count_delta,pseudo,rank_after,rank_before,rank_delta,rank_only_movement,score_after,score_before,score_changed,score_changed_without_update_advance,score_delta,to_snapshot,update_advanced,update_advanced_without_score_change,update_regressed,user_id,visible_dropped_battle_ids,visible_new_battle_ids
62.89364509259259,62.806447222222225,ge_14d,ge_14d,6479402,False,0.0871978703720702,20260728T050038Z-d61p,,Rouuux,71.0,71.0,0.0,False,16.39,16.39,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,6595390,0,0
63.06181450231482,62.89364509259259,ge_14d,ge_14d,6479402,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,Rouuux,71.0,71.0,0.0,False,16.39,16.39,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,6595390,0,0
63.69586988425926,63.06181450231482,ge_14d,ge_14d,6479402,False,0.6340553819443341,20260728T110709Z-d61p-wide,,Rouuux,71.0,71.0,0.0,False,16.39,16.39,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,6595390,0,0
64.69541493055556,63.69586988425926,ge_14d,ge_14d,6479402,False,0.9995450462980403,20260729T021701Z-d61p-wide,,Rouuux,71.0,71.0,0.0,False,16.39,16.39,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,6595390,0,0
62.14526657407407,56.0544657175926,ge_14d,ge_14d,6479403,False,6.090800856481548,20260721T105508Z-d61p,,GB_LA_ZONE,298.0,300.0,-2.0,True,12.03,12.03,False,False,0.0,20260727T130712Z-d61p,False,False,False,6831686,0,0
62.806445243055556,62.14526657407407,ge_14d,ge_14d,6479403,False,0.6611786689802452,20260727T130712Z-d61p,,GB_LA_ZONE,298.0,298.0,0.0,False,12.03,12.03,False,False,0.0,20260728T050038Z-d61p,False,False,False,6831686,0,0
62.893643113425924,62.806445243055556,ge_14d,ge_14d,6479403,False,0.0871978703720702,20260728T050038Z-d61p,,GB_LA_ZONE,298.0,298.0,0.0,False,12.03,12.03,False,False,0.0,20260728T050038Z-d61p-wide21to50,False,False,False,6831686,0,0
63.06181252314815,62.893643113425924,ge_14d,ge_14d,6479403,False,0.16816940972098599,20260728T050038Z-d61p-wide21to50,,GB_LA_ZONE,298.0,298.0,0.0,False,12.03,12.03,False,False,0.0,20260728T110709Z-d61p-wide,False,False,False,6831686,0,0
63.69586790509259,63.06181252314815,ge_14d,ge_14d,6479403,False,0.6340553819443341,20260728T110709Z-d61p-wide,,GB_LA_ZONE,298.0,298.0,0.0,False,12.03,12.03,False,False,0.0,20260729T021701Z-d61p-wide,False,False,False,6831686,0,0
64.69541295138889,63.69586790509259,ge_14d,ge_14d,6479403,False,0.9995450462980403,20260729T021701Z-d61p-wide,,GB_LA_ZONE,298.0,298.0,0.0,False,12.03,12.03,False,False,0.0,20260730T021701Z-d61p-wide,False,False,False,6831686,0,0
